City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,barras,-4.2444,-42.2944,21.36,96,100,1.32,BR,1669707641
337,makasar,-5.14,119.4221,30.03,66,40,4.63,ID,1669707534
338,rocha,-34.4833,-54.3333,17.28,96,60,2.9,UY,1669707698
339,antofagasta,-23.65,-70.4,17.6,87,34,0.09,CL,1669707698
340,vostok,46.4856,135.8833,-12.26,88,100,6.57,RU,1669707675
341,yellowknife,62.456,-114.3525,-29.69,76,20,3.6,CA,1669707699
342,arman,59.7,150.1667,-16.16,86,95,5.02,RU,1669707699
343,tocopilla,-22.092,-70.1979,17.42,80,30,1.36,CL,1669707113
344,srednekolymsk,67.45,153.6833,-24.49,99,100,3.92,RU,1669707700
345,lichinga,-13.3128,35.2406,23.05,56,75,5.14,MZ,1669707700
346,presidente medici,-11.1753,-61.9014,22.72,86,83,1.84,BR,1669707701
347,yenagoa,4.9247,6.2642,28.1,72,52,0.42,NG,1669707701
348,turayf,31.6725,38.6637,12.14,76,75,8.23,SA,1669707702
349,esmeraldas,-19.7625,-44.3139,17.48,91,100,0.93,BR,1669707702
350,ushibuka,32.1906,130.0228,20.39,94,97,5.35,JP,1669707702
351,tambura,5.6,27.4667,28.8,50,97,0.84,SS,1669707703
352,pacific grove,36.6177,-121.9166,10.92,81,0,8.94,US,1669707703
353,torrington,41.8007,-73.1212,0.92,85,2,2.68,US,1669707704
354,sorland,67.667,12.6934,7.92,71,0,7.2,NO,1669707704
355,palauig,15.435,119.9045,29.58,70,13,3.33,PH,1669707705
356,farso,56.7728,9.3393,5.81,76,100,6.13,DK,1669707705
357,west bay,19.3667,-81.4167,27.22,81,100,0.45,KY,1669707705
358,brae,60.3964,-1.353,8.32,85,2,3.71,GB,1669707706
359,manati,18.4275,-66.4921,24.47,92,28,2.53,PR,1669707706
360,opuwo,-18.0607,13.84,26.86,27,99,0.57,NA,1669707707
361,ixtapa,20.7,-105.2,19.57,82,13,0.45,MX,1669707707
362,paamiut,61.994,-49.6678,-0.61,87,100,8.72,GL,1669707708
363,motygino,58.1831,94.7592,-20.95,92,100,4.06,RU,1669707708
364,avera,33.194,-82.5271,5.73,73,0,1.11,US,1669707552
365,annau,37.8876,58.516,13.72,62,20,3.09,TM,1669707769
366,bonavista,48.6499,-53.1147,1.6,93,100,12.84,CA,1669707769
367,baker city,44.7749,-117.8344,-5.45,88,40,2.06,US,1669707769
368,nisia floresta,-6.0911,-35.2086,25.21,82,83,1.98,BR,1669707770
369,mahon,39.8885,4.2658,12.31,76,40,5.14,ES,1669707770
370,muyezerskiy,63.9333,31.65,-7.59,97,71,1.66,RU,1669707771
371,margate,51.3813,1.3862,8.72,96,30,2.24,GB,1669707772
372,adre,13.4667,22.2,27.64,17,28,4.33,TD,1669707772
373,deputatskiy,69.3,139.9,-29.29,96,100,0.59,RU,1669707773
374,wajid,3.8093,43.2471,30.96,41,24,7.5,SO,1669707773
375,kaffrine,14.1059,-15.5508,21.84,19,100,2.94,SN,1669707773
376,muisne,0.6,-80.0333,22.8,88,100,4.72,EC,1669707774
377,merauke,-8.4667,140.3333,26.99,81,100,7.72,ID,1669707774
378,chlorakas,34.8042,32.4083,22.49,53,20,5.66,CY,1669707775
379,north platte,41.1239,-100.7654,-1.06,77,100,12.07,US,1669707775
380,polunochnoye,60.8697,60.4153,-10.08,88,100,1.13,RU,1669707775
381,mlonggo,-6.5333,110.7,28.89,72,100,1.72,ID,1669707776
382,anloga,5.7947,0.8973,27.6,73,48,2.85,GH,1669707672
383,bandundu,-3.3167,17.3667,21.69,99,100,0.56,CD,1669707777
384,portland,45.5234,-122.6762,2.64,91,40,0.89,US,1669707049
385,thinadhoo,0.5333,72.9333,27.42,70,98,4.37,MV,1669707777
386,grajau,-5.8194,-46.1386,21.82,98,100,1.27,BR,1669707553
387,gat,31.61,34.7642,19.67,100,100,2.95,IL,1669707778
388,lorengau,-2.0226,147.2712,28.44,68,75,2.65,PG,1669707778
389,sabha,27.0377,14.4283,15.6,62,100,1.54,LY,1669707779
390,dukat,62.55,155.55,-29.68,96,100,2.46,RU,1669707779
391,pimenta bueno,-11.6725,-61.1936,22.07,87,52,1.59,BR,1669707780
392,broome,42.2506,-75.833,1.48,84,100,3.09,US,1669707780
393,whitehorse,60.7161,-135.0538,-16.22,77,100,4.12,CA,1669707649
394,araouane,18.9048,-3.5265,17.68,21,0,4.76,ML,1669707781
395,vilhena,-12.7406,-60.1458,19.97,78,78,1.56,BR,1669707782
396,mega,4.05,38.3,22.95,39,100,9.69,ET,1669707782
397,tecuala,22.3986,-105.4569,18.78,61,8,1.25,MX,1669707783
398,sao filipe,14.8961,-24.4956,23.43,61,0,4.63,CV,1669707783
399,terra santa,-2.1042,-56.4869,23.46,90,100,0.98,BR,1669707784
400,san rafael,-34.6177,-68.3301,23.3,44,42,1.95,AR,1669707785
401,kstovo,56.1473,44.1979,-11.34,90,80,1.2,RU,1669707785
402,qaqortoq,60.7167,-46.0333,0.28,99,100,0.95,GL,1669707786
403,caravelas,-17.7125,-39.2481,22.84,95,100,2.5,BR,1669707787
404,oranjemund,-28.55,16.4333,20.66,67,35,5.63,NA,1669707789
405,ballina,-28.8667,153.5667,23.9,81,31,5.15,AU,1669707540
406,bucerias,20.75,-105.3333,19.99,82,6,1.66,MX,1669707789
407,puerto colombia,10.9878,-74.9547,25.05,89,97,3.65,CO,1669707790
408,boyolangu,-8.1181,111.8935,26.88,81,100,4.6,ID,1669707790
409,rio grande,-32.035,-52.0986,19.97,83,0,6.77,BR,1669707851
410,sakakah,29.9697,40.2064,16.76,35,100,3.59,SA,1669707851
411,high level,58.5169,-117.136,-20.94,77,100,6.17,CA,1669707851
412,baykit,61.67,96.37,-19.33,97,100,1.74,RU,1669707852
413,moratuwa,6.773,79.8816,33.01,74,100,2.79,LK,1669707852
414,north bend,43.4065,-124.2243,3.98,99,100,3.6,US,1669707623
415,el dorado,38.7666,-120.5177,4.27,76,7,2.75,US,1669707793
416,puerto leguizamo,-0.1934,-74.7819,20.97,97,69,0.45,CO,1669707854
417,pilar,-9.5972,-35.9567,22.96,84,100,2.43,BR,1669707854
418,magadan,59.5667,150.8,-13.69,90,99,4.94,RU,1669707855
419,kenora,49.8167,-94.4337,-5.46,73,75,6.17,CA,1669707815
420,vanavara,60.34,102.2797,-17.58,96,100,2.23,RU,1669707855
421,pahrump,36.2083,-115.9839,8.51,50,13,0.45,US,1669707856
422,padang,-0.9492,100.3543,28.03,76,100,2.19,ID,1669707857
423,reporoa,-38.4333,176.35,13.16,77,88,1.44,NZ,1669707857
424,cidreira,-30.1811,-50.2056,20.63,87,18,6.4,BR,1669707602
425,sidney,-33.8679,151.2073,20.33,63,40,7.72,AU,1669707689
426,ploemeur,47.7333,-3.4333,9.97,92,75,1.54,FR,1669707859
427,touros,-5.1989,-35.4608,24.02,82,95,2.82,BR,1669707859
428,hofn,64.2539,-15.2082,2.62,75,99,2.58,IS,1669707860
429,abu kamal,34.4506,40.9171,17.67,47,100,2.99,SY,1669707860
430,vuktyl,63.8567,57.3094,-13.77,97,86,1.63,RU,1669707861
431,lerwick,60.1545,-1.1494,8.0,82,2,4.17,GB,1669707861
432,erzin,36.9559,36.2,18.69,46,68,3.34,TR,1669707862
433,kankan,10.3854,-9.3057,22.4,38,32,1.16,GN,1669707863
434,la rioja,42.25,-2.5,4.88,77,50,4.1,ES,1669707863
435,horki,54.2861,30.9842,-3.63,93,100,4.78,BY,1669707864
436,hami,42.8,93.45,-8.54,15,0,1.62,CN,1669707864
437,price,39.5994,-110.8107,-2.16,59,100,2.57,US,1669707594
